TimeStamp,Count
20130507,6339
20130508,3296
20130509,3224
20130510,6079
20130511,6675
20130512,6680
20130513,6758
20130514,6134
20130515,3160
20130516,3073
20130517,6334
20130518,6971
20130519,7013
20130520,7042
20130521,6163
20130522,3229
20130523,3111
20130524,6415
20130525,6921
20130526,7108
20130527,7131
20130528,6237
20130529,3210
20130530,3168
20130601,6105
20130602,6978
20130603,6985
20130604,6118
20130605,5806
20130606,3027
20130607,2945
20130608,6363
20130609,6989
20130610,7002
20130611,7096
20130612,6247
20130613,3023
20130614,3032
20130615,6633
20130616,7279
20130617,7421
20130618,7385
20130619,6549
20130620,3269
20130621,3284
20130622,6683
20130623,7368
20130624,7509
20130625,7380
20130626,6680
20130627,3383
20130628,3416
20130629,6794
20130630,7228
20130631,7367
20130701,7286
20130702,6465
20130703,3240
20130704,3232
20130705,6486
20130706,6948
20130707,7289
20130708,6934
20130709,5880
20130710,3104
20130711,3214
20130712,6513
20130713,7039
20130714,7107
20130715,6073
20130716,6146
20130717,3282
20130718,3294
20130719,6248
20130720,6827
20130721,6953
20130722,7115
20130723,6446
20130724,3349
20130725,3281
20130726,6280
20130727,6832
20130728,7155
20130729,6996
20130730,6045
20130731,3315
20130801,3164
20130802,5658
20130803,6499
20130804,6902
20130805,6824
20130806,6241
20130807,3348
20130808,3394
20130809,5991
20130810,6774
20130811,6999
20130812,7073
20130813,7039
20130814,3697
20130815,3804
20130816,7253
20130817,7727
20130818,7683
20130819,7869
20130820,7005
20130821,3902
20130822,3829
20130823,7200
20130824,8022
20130825,8012
20130826,8050
20130827,7083
20130828,3758
20130829,3945
20130830,7348
20130901,7568
20130902,7146
20130903,7801
20130904,7271
20130905,3893
20130906,3906
20130907,7453
20130908,8137
20130909,8320
20130910,8144
20130911,7172
20130912,3921
20130913,3943
20130914,6788
20130915,7531
20130916,7929
20130917,8056
20130918,7299
20130919,4012
20130920,4122
20130921,7835
20130922,8218
20130923,8332
20130924,8539
20130925,7503
20130926,4012
20130927,4199
20130928,7698
20130929,8294
20130930,8254
20130931,7798
20131001,6299
20131002,3733
20131003,3990
20131004,6995
20131005,7555
20131006,8270
20131007,8360
20131008,7393
20131009,4182
20131010,4282
20131011,7564
20131012,8347
20131013,8408
20131014,8355
20131015,7527
20131016,4347
20131017,4345
20131018,7877
20131019,8359
20131020,8746
20131021,8626
20131022,7788
20131023,4452
20131024,4423
20131025,7780
20131026,8518
20131027,8231
20131028,7303
20131029,6253
20131030,4177
20131101,4127
